2019-09-18 10:06:50,645 INFO [root] [base.py (__init__:14] - 获取driver对象：<appium.webdriver.webdriver.WebDriver (session="c86b3a1f-e63e-4b92-af4c-f062aaeac170")>
2019-09-18 10:06:50,648 INFO [root] [base.py (__init__:14] - 获取driver对象：<appium.webdriver.webdriver.WebDriver (session="c86b3a1f-e63e-4b92-af4c-f062aaeac170")>
2019-09-18 10:07:08,819 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymdialog_left_button') 超时时间：10 访问频率：0.5
2019-09-18 10:07:09,717 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymdialog_left_button')
2019-09-18 10:07:09,717 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'编辑')]") 超时时间：10 访问频率：0.5
2019-09-18 10:07:10,636 INFO [root] [base.py (base_click:35] - 正在点击元素：('xpath', "//*[contains(@text,'编辑')]")
2019-09-18 10:07:10,637 INFO [root] [base.py (base_finds:28] - 正在查找元素：('xpath', "//*[contains(@text,'删除')]") 超时时间：10 访问频率：0.5
2019-09-18 10:07:11,318 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymdialog_left_button') 超时时间：10 访问频率：0.5
2019-09-18 10:07:12,217 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymdialog_left_button')
2019-09-18 10:07:12,217 INFO [root] [base.py (base_finds:28] - 正在查找元素：('id', 'com.yunmall.lc:id/receipt_name') 超时时间：2 访问频率：0.5
2019-09-18 10:44:17,624 INFO [root] [base.py (__init__:14] - 获取driver对象：<appium.webdriver.webdriver.WebDriver (session="bf1ea2fd-3e50-4c7d-83b0-f491326ef2a9")>
2019-09-18 10:44:17,624 INFO [root] [base.py (__init__:14] - 获取driver对象：<appium.webdriver.webdriver.WebDriver (session="bf1ea2fd-3e50-4c7d-83b0-f491326ef2a9")>
2019-09-18 10:44:17,624 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/img_close') 超时时间：10 访问频率：0.5
2019-09-18 10:44:18,266 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/img_close')
2019-09-18 10:44:18,266 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tab_me') 超时时间：10 访问频率：0.5
2019-09-18 10:44:19,636 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/tab_me')
2019-09-18 10:44:19,637 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/textView1') 超时时间：10 访问频率：0.5
2019-09-18 10:44:21,153 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/textView1')
2019-09-18 10:44:21,153 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:44:22,869 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
2019-09-18 10:44:23,540 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入：itheima
2019-09-18 10:44:23,540 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:44:25,675 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
2019-09-18 10:44:26,240 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：123456
2019-09-18 10:44:26,241 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
2019-09-18 10:44:26,785 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
2019-09-18 10:44:28,785 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image') 超时时间：10 访问频率：0.5
2019-09-18 10:44:28,868 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image')
2019-09-18 10:44:28,868 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_address_manage') 超时时间：10 访问频率：0.5
2019-09-18 10:44:30,287 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/setting_address_manage')
2019-09-18 10:44:30,288 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_add_new_btn') 超时时间：10 访问频率：0.5
2019-09-18 10:44:31,466 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/address_add_new_btn')
2019-09-18 10:44:31,466 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_receipt_name') 超时时间：10 访问频率：0.5
2019-09-18 10:44:33,371 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/address_receipt_name') 执行清空操作
2019-09-18 10:44:34,051 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/address_receipt_name') 执行 输入：张三
2019-09-18 10:44:34,052 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_add_phone') 超时时间：10 访问频率：0.5
2019-09-18 10:44:35,090 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/address_add_phone') 执行清空操作
2019-09-18 10:44:35,757 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/address_add_phone') 执行 输入：13800001111
2019-09-18 10:44:35,757 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_province') 超时时间：10 访问频率：0.5
2019-09-18 10:44:36,284 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/address_province')
2019-09-18 10:44:37,285 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'河北省')]") 超时时间：10 访问频率：0.5
2019-09-18 10:44:37,599 INFO [root] [base.py (base_click:35] - 正在点击元素：('xpath', "//*[contains(@text,'河北省')]")
2019-09-18 10:44:38,599 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'唐山')]") 超时时间：10 访问频率：0.5
2019-09-18 10:44:38,664 INFO [root] [base.py (base_click:35] - 正在点击元素：('xpath', "//*[contains(@text,'唐山')]")
2019-09-18 10:44:39,664 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'长安区')]") 超时时间：10 访问频率：0.5
2019-09-18 10:44:52,292 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'编辑')]") 超时时间：10 访问频率：0.5
2019-09-18 10:45:02,517 INFO [root] [base.py (base_finds:28] - 正在查找元素：('id', 'com.yunmall.lc:id/receipt_name') 超时时间：10 访问频率：0.5
2019-09-18 10:46:11,512 INFO [root] [base.py (__init__:14] - 获取driver对象：<appium.webdriver.webdriver.WebDriver (session="79762b8c-6eda-4c1a-84f2-f7ab54d898c4")>
2019-09-18 10:46:11,512 INFO [root] [base.py (__init__:14] - 获取driver对象：<appium.webdriver.webdriver.WebDriver (session="79762b8c-6eda-4c1a-84f2-f7ab54d898c4")>
2019-09-18 10:46:11,512 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/img_close') 超时时间：10 访问频率：0.5
2019-09-18 10:46:12,082 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/img_close')
2019-09-18 10:46:12,082 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tab_me') 超时时间：10 访问频率：0.5
2019-09-18 10:46:13,716 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/tab_me')
2019-09-18 10:46:13,717 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/textView1') 超时时间：10 访问频率：0.5
2019-09-18 10:46:15,193 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/textView1')
2019-09-18 10:46:15,194 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:46:17,319 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
2019-09-18 10:46:17,862 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入：itheima
2019-09-18 10:46:17,862 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:46:20,293 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
2019-09-18 10:46:20,827 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：123456
2019-09-18 10:46:20,827 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
2019-09-18 10:46:21,360 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
2019-09-18 10:46:23,361 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image') 超时时间：10 访问频率：0.5
2019-09-18 10:46:23,453 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image')
2019-09-18 10:46:23,453 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_address_manage') 超时时间：10 访问频率：0.5
2019-09-18 10:46:24,809 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/setting_address_manage')
2019-09-18 10:46:24,810 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_add_new_btn') 超时时间：10 访问频率：0.5
2019-09-18 10:46:26,114 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/address_add_new_btn')
2019-09-18 10:46:26,114 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_receipt_name') 超时时间：10 访问频率：0.5
2019-09-18 10:46:28,434 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/address_receipt_name') 执行清空操作
2019-09-18 10:46:29,103 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/address_receipt_name') 执行 输入：张三
2019-09-18 10:46:29,103 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_add_phone') 超时时间：10 访问频率：0.5
2019-09-18 10:46:30,194 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/address_add_phone') 执行清空操作
2019-09-18 10:46:30,866 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/address_add_phone') 执行 输入：13800001111
2019-09-18 10:46:33,054 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'编辑')]") 超时时间：10 访问频率：0.5
2019-09-18 10:46:43,524 INFO [root] [base.py (base_finds:28] - 正在查找元素：('id', 'com.yunmall.lc:id/receipt_name') 超时时间：10 访问频率：0.5
2019-09-18 10:49:22,304 INFO [root] [base.py (__init__:14] - 获取driver对象：<appium.webdriver.webdriver.WebDriver (session="48cb9c9b-ffde-4b41-bc19-f0eb67f9c739")>
2019-09-18 10:49:22,304 INFO [root] [base.py (__init__:14] - 获取driver对象：<appium.webdriver.webdriver.WebDriver (session="48cb9c9b-ffde-4b41-bc19-f0eb67f9c739")>
2019-09-18 10:49:22,305 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/img_close') 超时时间：10 访问频率：0.5
2019-09-18 10:49:23,129 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/img_close')
2019-09-18 10:49:23,130 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tab_me') 超时时间：10 访问频率：0.5
2019-09-18 10:49:24,640 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/tab_me')
2019-09-18 10:49:24,640 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/textView1') 超时时间：10 访问频率：0.5
2019-09-18 10:49:26,193 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/textView1')
2019-09-18 10:49:26,193 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:49:28,186 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
2019-09-18 10:49:28,817 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入：itheima
2019-09-18 10:49:28,817 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:49:30,951 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
2019-09-18 10:49:31,511 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：123456
2019-09-18 10:49:31,511 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
2019-09-18 10:49:32,043 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
2019-09-18 10:49:34,044 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image') 超时时间：10 访问频率：0.5
2019-09-18 10:49:34,242 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image')
2019-09-18 10:49:34,242 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_address_manage') 超时时间：10 访问频率：0.5
2019-09-18 10:49:35,592 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/setting_address_manage')
2019-09-18 10:49:35,593 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_add_new_btn') 超时时间：10 访问频率：0.5
2019-09-18 10:49:36,858 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/address_add_new_btn')
2019-09-18 10:49:36,858 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_receipt_name') 超时时间：10 访问频率：0.5
2019-09-18 10:49:38,787 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/address_receipt_name') 执行清空操作
2019-09-18 10:49:39,454 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/address_receipt_name') 执行 输入：张三
2019-09-18 10:49:39,454 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_add_phone') 超时时间：10 访问频率：0.5
2019-09-18 10:49:40,578 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/address_add_phone') 执行清空操作
2019-09-18 10:49:41,242 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/address_add_phone') 执行 输入：13800001111
2019-09-18 10:49:41,242 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_province') 超时时间：10 访问频率：0.5
2019-09-18 10:49:41,805 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/address_province')
2019-09-18 10:49:42,806 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'河北')]") 超时时间：10 访问频率：0.5
2019-09-18 10:49:43,174 INFO [root] [base.py (base_click:35] - 正在点击元素：('xpath', "//*[contains(@text,'河北')]")
2019-09-18 10:49:44,175 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'唐山')]") 超时时间：10 访问频率：0.5
2019-09-18 10:49:44,235 INFO [root] [base.py (base_click:35] - 正在点击元素：('xpath', "//*[contains(@text,'唐山')]")
2019-09-18 10:49:45,235 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'路北')]") 超时时间：10 访问频率：0.5
2019-09-18 10:49:45,287 INFO [root] [base.py (base_click:35] - 正在点击元素：('xpath', "//*[contains(@text,'路北')]")
2019-09-18 10:49:45,287 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_detail_addr_info') 超时时间：10 访问频率：0.5
2019-09-18 10:49:46,544 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/address_detail_addr_info') 执行清空操作
2019-09-18 10:49:47,288 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/address_detail_addr_info') 执行 输入：京城81号
2019-09-18 10:49:47,289 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_post_code') 超时时间：10 访问频率：0.5
2019-09-18 10:49:48,375 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/address_post_code') 执行清空操作
2019-09-18 10:49:49,073 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/address_post_code') 执行 输入：100010
2019-09-18 10:49:49,074 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_default') 超时时间：10 访问频率：0.5
2019-09-18 10:49:49,631 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/address_default')
2019-09-18 10:49:49,631 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/button_send') 超时时间：10 访问频率：0.5
2019-09-18 10:49:50,198 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/button_send')
2019-09-18 10:49:50,198 INFO [root] [base.py (base_finds:28] - 正在查找元素：('id', 'com.yunmall.lc:id/receipt_name') 超时时间：10 访问频率：0.5
2019-09-18 10:49:51,302 INFO [root] [base.py (base_finds:28] - 正在查找元素：('id', 'com.yunmall.lc:id/receipt_name') 超时时间：10 访问频率：0.5
2019-09-18 10:49:53,449 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'编辑')]") 超时时间：10 访问频率：0.5
2019-09-18 10:49:53,519 INFO [root] [base.py (base_click:35] - 正在点击元素：('xpath', "//*[contains(@text,'编辑')]")
2019-09-18 10:49:53,520 INFO [root] [base.py (base_finds:28] - 正在查找元素：('xpath', "//*[contains(@text,'修改')]") 超时时间：10 访问频率：0.5
2019-09-18 10:49:56,202 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_receipt_name') 超时时间：10 访问频率：0.5
2019-09-18 10:49:57,380 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/address_receipt_name') 执行清空操作
2019-09-18 10:49:58,396 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/address_receipt_name') 执行 输入：李四
2019-09-18 10:49:58,396 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_add_phone') 超时时间：10 访问频率：0.5
2019-09-18 10:49:59,650 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/address_add_phone') 执行清空操作
2019-09-18 10:50:00,603 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/address_add_phone') 执行 输入：13811112222
2019-09-18 10:50:00,603 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_province') 超时时间：10 访问频率：0.5
2019-09-18 10:50:01,400 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/address_province')
2019-09-18 10:50:02,400 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'广东')]") 超时时间：10 访问频率：0.5
2019-09-18 10:50:02,636 INFO [root] [base.py (base_click:35] - 正在点击元素：('xpath', "//*[contains(@text,'广东')]")
2019-09-18 10:50:03,637 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'广州')]") 超时时间：10 访问频率：0.5
2019-09-18 10:50:03,716 INFO [root] [base.py (base_click:35] - 正在点击元素：('xpath', "//*[contains(@text,'广州')]")
2019-09-18 10:50:04,717 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'天河')]") 超时时间：10 访问频率：0.5
2019-09-18 10:50:04,787 INFO [root] [base.py (base_click:35] - 正在点击元素：('xpath', "//*[contains(@text,'天河')]")
2019-09-18 10:50:04,787 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_detail_addr_info') 超时时间：10 访问频率：0.5
2019-09-18 10:50:06,259 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/address_detail_addr_info') 执行清空操作
2019-09-18 10:50:07,191 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/address_detail_addr_info') 执行 输入：京城18号
2019-09-18 10:50:07,192 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/address_post_code') 超时时间：10 访问频率：0.5
2019-09-18 10:50:08,368 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/address_post_code') 执行清空操作
2019-09-18 10:50:09,319 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/address_post_code') 执行 输入：100000
2019-09-18 10:50:09,320 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/button_send') 超时时间：10 访问频率：0.5
2019-09-18 10:50:09,856 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/button_send')
2019-09-18 10:50:09,856 INFO [root] [base.py (base_finds:28] - 正在查找元素：('id', 'com.yunmall.lc:id/receipt_name') 超时时间：10 访问频率：0.5
2019-09-18 10:50:10,881 INFO [root] [base.py (base_finds:28] - 正在查找元素：('id', 'com.yunmall.lc:id/receipt_name') 超时时间：10 访问频率：0.5
2019-09-18 10:50:11,629 INFO [root] [base.py (base_finds:28] - 正在查找元素：('id', 'com.yunmall.lc:id/receipt_name') 超时时间：10 访问频率：0.5
2019-09-18 10:50:11,699 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'编辑')]") 超时时间：10 访问频率：0.5
2019-09-18 10:50:11,748 INFO [root] [base.py (base_click:35] - 正在点击元素：('xpath', "//*[contains(@text,'编辑')]")
